"Summary","Issue Type","Priority","Epic Link","Description","Story Points","Labels","Component/s","Acceptance Criteria"
"Phase 4: Tier 2 Knowledge Base","Epic","High","","Encode AVIXA/CEDIA standards into structured reference documents for the AI agent","","phase-4","Knowledge Base",""
"Gather AVIXA F502.01 Audio Coverage standard","Task","High","Phase 4: Tier 2 Knowledge Base","Obtain AVIXA F502.01 from member library. Extract SPL targets, coverage formulas, room type references.","2","phase-4,standards","Knowledge Base","Standard document obtained and key formulas identified"
"Gather AVIXA V201.01 Display Standards","Task","High","Phase 4: Tier 2 Knowledge Base","Obtain AVIXA V201.01. Extract viewing distance formulas, image size tables, content type classifications.","2","phase-4,standards","Knowledge Base","Standard document obtained and viewing distance tables extracted"
"Gather CEDIA residential/hospitality best practices","Task","Medium","Phase 4: Tier 2 Knowledge Base","Obtain CEDIA best practices manual. Extract installation standards relevant to room types.","2","phase-4,standards","Knowledge Base","Document obtained and key sections identified"
"Gather CEDIA networking and wiring standards","Task","Medium","Phase 4: Tier 2 Knowledge Base","Obtain CEDIA AV-over-IP and structured wiring guidelines.","2","phase-4,standards","Knowledge Base","Documents obtained"
"Collect manufacturer design tool outputs","Task","Medium","Phase 4: Tier 2 Knowledge Base","Gather acoustic data from QSC Q-SYS Designer, Bose Modeler, JBL EASE Focus. Extract coverage patterns and SPL data.","3","phase-4,standards","Knowledge Base","Coverage angle and SPL data for top 10 speaker models captured"
"Create /data/standards/ directory structure","Task","Medium","Phase 4: Tier 2 Knowledge Base","Set up directory and file naming convention for Tier 2 reference docs.","1","phase-4","Knowledge Base","Directory created with README explaining structure"
"Encode audio-coverage.md","Story","High","Phase 4: Tier 2 Knowledge Base","Encode AVIXA F502.01 into structured markdown: SPL targets by room type, coverage formulas, speaker spacing calculations, worked examples.","5","phase-4,standards","Knowledge Base","Agent produces speaker count within 10% of CTS-D manual calculation"
"Encode display-sizing.md","Story","High","Phase 4: Tier 2 Knowledge Base","Encode AVIXA V201.01 into structured markdown: viewing distance tables, display size recommendations, content type classifications.","3","phase-4,standards","Knowledge Base","Agent recommends correct display size for given viewing distance and content type"
"Encode rack-design.md","Story","Medium","Phase 4: Tier 2 Knowledge Base","Rack spacing, ventilation, power, and cable management standards.","3","phase-4,standards","Knowledge Base","Agent correctly sizes rack space for given equipment list"
"Encode wiring-guidelines.md","Story","Medium","Phase 4: Tier 2 Knowledge Base","Structured wiring standards: cable types, gauge requirements, run lengths, conduit sizing.","3","phase-4,standards","Knowledge Base","Reference doc complete with tables and formulas"
"Encode networking-standards.md","Story","Medium","Phase 4: Tier 2 Knowledge Base","AV-over-IP requirements: bandwidth, VLAN design, QoS, multicast.","3","phase-4,standards","Knowledge Base","Reference doc complete"
"Build context loader for Tier 2 docs","Story","High","Phase 4: Tier 2 Knowledge Base","When agent encounters a room type, automatically load relevant Tier 2 docs into context. Map room types to applicable standards.","5","phase-4","Knowledge Base","Relevant standards load in <500ms when room type is selected"
"Add standards citation to agent responses","Story","Medium","Phase 4: Tier 2 Knowledge Base","Agent includes standard references in recommendations (e.g., Per AVIXA F502.01...).","3","phase-4","Knowledge Base","Agent cites standard name and section in design recommendations"
